Incident,change,date,year,month,day,time,hour,addr,lon,lat,zip,nature,all,all2
2013122395,n,6/30/13,2013,06,Sunday,20:31:47,20,50 NORTH CEDAR LAKE DR E-CO,-92.340615,38.896269,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Jun-30-2013<br\>Time: 20:31<br\>Address: 50 NORTH CEDAR LAKE DR E-CO,Incident: SF-SHOTS FIRED Date: Jun-30-2013 Time: 20:31 Address: 50 NORTH CEDAR LAKE DR E-CO
2012042482,n,3/3/12,2012,03,Saturday,9:23:57,09,5005 THORNBROOK RIDGE-CO,-92.411514,38.896519,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Mar-03-2012<br\>Time: 09:23<br\>Address: 5005 THORNBROOK RIDGE-CO,Incident: SF-SHOTS FIRED Date: Mar-03-2012 Time: 09:23 Address: 5005 THORNBROOK RIDGE-CO
2010241094,n,12/3/10,2010,12,Friday,22:06:35,22,4902 INNSBRUCK WY-CO,-92.364134,38.896614,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Dec-03-2010<br\>Time: 22:06<br\>Address: 4902 INNSBRUCK WY-CO,Incident: SF-SHOTS FIRED Date: Dec-03-2010 Time: 22:06 Address: 4902 INNSBRUCK WY-CO
2011077714,n,4/29/11,2011,04,Friday,22:28:19,22,23 NORTH CEDAR LAKE DR W-CO,-92.342528,38.897126,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Apr-29-2011<br\>Time: 22:28<br\>Address: 23 NORTH CEDAR LAKE DR W-CO,Incident: SF-SHOTS FIRED Date: Apr-29-2011 Time: 22:28 Address: 23 NORTH CEDAR LAKE DR W-CO
2010072316,n,4/10/10,2010,04,Saturday,21:19:14,21,327 NORTH CEDAR LAKE DR W-CO,-92.348216,38.897272,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Apr-10-2010<br\>Time: 21:19<br\>Address: 327 NORTH CEDAR LAKE DR W-CO,Incident: SF-SHOTS FIRED Date: Apr-10-2010 Time: 21:19 Address: 327 NORTH CEDAR LAKE DR W-CO
2013197501,y,10/14/13,2013,10,Monday,23:35:33,23,156 MAPLE GROVE WY-CO,-92.346052,38.897627,65203,SI-SUSP INCIDENT,Incident: SI-SUSP INCIDENT<br\>Date: Oct-14-2013<br\>Time: 23:35<br\>Address: 156 MAPLE GROVE WY-CO,Incident: SI-SUSP INCIDENT Date: Oct-14-2013 Time: 23:35 Address: 156 MAPLE GROVE WY-CO
2011216889,y,11/23/11,2011,11,Wednesday,0:00:13,00,1500 PRESTWICK DR-CO,-92.361858,38.897811,65203,V-VANDALISM,Incident: V-VANDALISM<br\>Date: Nov-23-2011<br\>Time: 00:00<br\>Address: 1500 PRESTWICK DR-CO,Incident: V-VANDALISM Date: Nov-23-2011 Time: 00:00 Address: 1500 PRESTWICK DR-CO
2011078976,n,5/2/11,2011,05,Monday,0:11:01,00,1104 MERRILL CT-CO,-92.356318,38.897993,65203,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: May-02-2011<br\>Time: 00:11<br\>Address: 1104 MERRILL CT-CO,Incident: SF-SHOTS FIRED Date: May-02-2011 Time: 00:11 Address: 1104 MERRILL CT-CO
2010247903,n,12/14/10,2010,12,Tuesday,10:33:38,10,4700 PROVIDENCE RD S-CO,-92.330103,38.898326,65201,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Dec-14-2010<br\>Time: 10:33<br\>Address: 4700 PROVIDENCE RD S-CO,Incident: SF-SHOTS FIRED Date: Dec-14-2010 Time: 10:33 Address: 4700 PROVIDENCE RD S-CO
2010254659,n,12/24/10,2010,12,Friday,14:20:48,14,4700 PROVIDENCE RD S-CO,-92.330103,38.898326,65201,SF-SHOTS FIRED,Incident: SF-SHOTS FIRED<br\>Date: Dec-24-2010<br\>Time: 14:20<br\>Address: 4700 PROVIDENCE RD S-CO,Incident: SF-SHOTS FIRED Date: Dec-24-2010 Time: 14:20 Address: 4700 PROVIDENCE RD S-CO
